Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Cell::Cell(bool, double, double)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Size::operator=(PsCourseworkI::Size const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::AppArgs(int, char**)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::~AppArgs()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::Resize(PsCourseworkI::Size const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::Array2D()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::~Array2D()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::BmpFile(std::string)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::~BmpFile()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::Print()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::AppConfig(std::string const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::AppConfig::~AppConfig()
  0.00    122.95     0.00        1     0.00     0.03  PsCourseworkI::Landscape::ApplyLandWaterMask(PsCourseworkI::Array2D<unsigned int> const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Landscape::InitHalos()
  0.00    122.95     0.00        1     0.00     5.60  PsCourseworkI::Landscape::Landscape(PsCourseworkI::AppConfig const&)
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::Landscape::~Landscape()
  0.00    122.95     0.00        1     0.00     0.00  PsCourseworkI::operator==(PsCourseworkI::Size const&, PsCourseworkI::Size const&)
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::deallocate(unsigned int*, unsigned long)
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::allocate(unsigned long, void const*)
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::new_allocator()
  0.00    122.95     0.00        1     0.00     0.00  __gnu_cxx::new_allocator<unsigned int>::~new_allocator()
