Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     80.62     0.00        1     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >::difference_type __gnu_cxx::operator-<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&, __gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > > const&)
  0.00     80.62     0.00        1     0.00     0.00  PsCourseworkI::AppConfigReader::GetConfig() const
  0.00     80.62     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetCfgFilename() const
  0.00     80.62     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::GetLwMaskFilename() const
  0.00     80.62     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::GetSize() const
  0.00     80.62     0.00        1     0.00     0.00  PsCourseworkI::BmpFile::GetArray() const
  0.00     80.62     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_check_len(unsigned long, char const*) const
  0.00     80.62     0.00        1     0.00     0.00  std::allocator<unsigned int>::allocator()
  0.00     80.62     0.00        1     0.00     0.00  std::allocator<unsigned int>::~allocator()
  0.00     80.62     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_M_allocate(unsigned long)
  0.00     80.62     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::_Vector_impl()
  0.00     80.62     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_impl::~_Vector_impl()
  0.00     80.62     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::_Vector_base()
  0.00     80.62     0.00        1     0.00     0.00  std::_Vector_base<unsigned int, std::allocator<unsigned int> >::~_Vector_base()
  0.00     80.62     0.00        1     0.00     0.00  void std::__uninitialized_fill_n<true>::uninitialized_fill_n<unsigned int*, unsigned long, unsigned int>(unsigned int*, unsigned long, unsigned int const&)
  0.00     80.62     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_fill_insert(__gnu_cxx::__normal_iterator<unsigned int*, std::vector<unsigned int, std::allocator<unsigned int> > >, unsigned long, unsigned int const&)
  0.00     80.62     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::_M_erase_at_end(unsigned int*)
  0.00     80.62     0.00        1     0.00     0.00  std::vector<unsigned int, std::allocator<unsigned int> >::end()
