Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     85.74     0.00        2     0.00     0.01  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::_M_fill_initialize(unsigned long, PsCourseworkI::Cell const&)
  0.00     85.74     0.00        2     0.00     0.00  std::vector<PsCourseworkI::Cell, std::allocator<PsCourseworkI::Cell> >::~vector()
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::__copy_move_a<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::__copy_move_a2<false, unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::uninitialized_copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00     85.74     0.00        2     0.00     0.01  void std::uninitialized_fill_n<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&)
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_copy_a<unsigned int*, unsigned int*, unsigned int>(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::__uninitialized_move_a<unsigned int*, unsigned int*, std::allocator<unsigned int> >(unsigned int*, unsigned int*, unsigned int*, std::allocator<unsigned int>&)
  0.00     85.74     0.00        2     0.00     0.01  void std::__uninitialized_fill_n_a<PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell, PsCourseworkI::Cell>(PsCourseworkI::Cell*, unsigned long, PsCourseworkI::Cell const&, std::allocator<PsCourseworkI::Cell>&)
  0.00     85.74     0.00        2     0.00     0.00  unsigned int* std::copy<unsigned int*, unsigned int*>(unsigned int*, unsigned int*, unsigned int*)
  0.00     85.74     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*>(PsCourseworkI::Cell*, PsCourseworkI::Cell*)
  0.00     85.74     0.00        2     0.00     0.00  void std::_Destroy<PsCourseworkI::Cell*, PsCourseworkI::Cell>(PsCourseworkI::Cell*, PsCourseworkI::Cell*, std::allocator<PsCourseworkI::Cell>&)
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI4CellC2Ev
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7AppArgsC2EiPPc
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7BmpFileC2ESs
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI7PpmFileC2ERKSsRKNS_4SizeEj
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9AppConfig5PrintEv
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to _ZN13PsCourseworkI9LandscapeC2ERKNS_9AppConfigE
  0.00     85.74     0.00        1     0.00     0.00  global constructors keyed to main
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::AppConfigReader::AppConfigReader(std::string const&)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::LandscapePpmWriter::LandscapePpmWriter(PsCourseworkI::Landscape&)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::Cell::Cell(bool, double, double)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::Size::operator=(PsCourseworkI::Size const&)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::AppArgs(int, char**)
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::AppArgs::~AppArgs()
  0.00     85.74     0.00        1     0.00     0.00  PsCourseworkI::Array2D<unsigned int>::Array2D()
